version 6
recent_area Area_Center
unlock_puzzles 0
randomize 0
randomize_music 0
playtime 13912.75
nexus_unlocked 0

-section levels
1by1_clone_flower 0 0
1by1_inf 0 0
1by1_order_line 0 0
1by1_playerr_flip2 0 0
1by1_possess_v3 0 0
1by1_poswall_silliness 0 0
1by1_stack 0 0
2by2 0 0
3_and_9 0 0
3by3_fun_clone_heist 0 0
3by3ref 0 0
4by4_linear 0 0
5by1 0 0
7by1_careful_stowaway 0 0
7by3ref 0 0
align_setup_transfer 0 0
align_setup_transfer_flip 0 0
break_in 1 1
cage 1 1
cage_hard_0 0 0
cannon 1 1
cannon2 1 1
careful_cannon 1 1
careful_packing0 1 1
careful_packing1 1 1
carry 1 1
carry_adjust 1 1
carry_adjust_donut_hole 1 1
carry_player 0 0
carry_swap 1 1
catch_and_flip_2 0 0
clone_carousel 0 0
clone_first_2 1 1
clone_flip_ref 0 0
clone_mutual_rescue 0 0
clone_peel 1 1
clone_peel_setup 1 1
clone_ref_first_contact_2 1 1
clone_ref_first_contact_3 1 1
clone_rescue_ref_2 1 1
clone_separate_line 1 1
clone_separate_line_hard 0 1
clone_strategic_entrances 1 1
clone_switch_sides 1 1
clone_switch_sides_rescue 1 1
clone_transfer 0 0
clone_unstuck_trick 1 1
clone_unstuck_trick_3 0 0
competor_inspired 0 0
correct_placement 1 1
cycle_align 0 0
cycle_careful_left 0 0
cycle_cross 0 0
cycle_interlope_2 0 0
cycle_interlope_align 0 0
cycle_interlope_from_back_2_v2 0 0
cycle_line 0 0
cycle_poswall 0 0
cycle_ref 0 0
cycle_setup 0 0
dig 0 0
digest_2 0 0
digest_backing_1 0 0
digest_backing_3_v2 0 0
digest_eject_elbow 0 0
digest_reorder 0 0
dismantle_ocean_start_no_exit 0 0
dismantle_one_ocean_using_another 0 0
double_enter_clone 0 0
double_enter_transfer 0 0
dual_unstuck 1 1
eat_4_sides 1 1
eat_correct_order 1 1
eat_cycle 0 0
eat_long_line 1 1
eat_recognize 1 1
eat_ref_rescue_v2 1 1
eat_same_side 0 0
eat_stack_ref 0 0
eat_stack_v2 1 1
eat_then_tight_squash 1 1
elbow_finish_idiom 1 1
empty_carry_better 1 1
empty_lock_door 1 1
enter 1 1
enter_in_center_first 1 1
enter_in_center_unstuck 1 1
enter_the_ocean_10_foot_pole 0 0
enter_the_ocean_v2 0 1
enter_two_sides 1 1
exit_all_sides 1 1
exit_and_push_2 1 1
exit_possess_setup 0 0
find_spot 0 0
first_puzzle 1 1
flip_block_with_clone_3 0 0
